Gene	Cytoband	(A) Asian	(B) White	(A) Asian	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
ZNF556	19p13.3	0.12	0.25	0.25	0.40	-0.13	1.737e-3	0.110	(B) White
TENM3-AS1	4q34.3	4.54	5.30	1.52	1.53	-0.75	1.756e-3	0.111	(B) White
ADAMTS17	15q26.3	6.20	5.79	0.82	0.88	0.41	1.763e-3	0.111	(A) Asian
CLEC4E	12p13.31	3.53	4.29	1.50	1.65	-0.75	1.768e-3	0.111	(B) White
ATAD3A	1p36.33	8.99	9.15	0.32	0.34	-0.16	1.771e-3	0.111	(B) White
SLC1A3	5p13.2	5.91	6.52	1.21	1.34	-0.61	1.780e-3	0.111	(B) White
DUOXA1	15q21.1	10.78	10.49	0.57	0.72	0.29	1.780e-3	0.111	(A) Asian
TMEM190	19q13.42	0.11	0.28	0.24	0.76	-0.17	1.806e-3	0.112	(B) White
ARHGEF5	7q35	9.62	9.43	0.38	0.40	0.19	1.819e-3	0.112	(A) Asian
MAF	16q23.2	10.80	10.57	0.46	0.50	0.23	1.820e-3	0.112	(A) Asian
USP6	17p13.2	5.32	5.65	0.63	0.89	-0.33	1.821e-3	0.112	(B) White
PPP1R21	2p16.3	10.54	10.31	0.45	0.50	0.23	1.838e-3	0.112	(A) Asian
TTC12	11q23.2	8.69	8.49	0.40	0.49	0.20	1.857e-3	0.113	(A) Asian
CTAG2	Xq28	0.03	0.19	0.11	0.91	-0.17	1.874e-3	0.113	(B) White
CYP4F35P	18p11.21	5.30	4.54	1.53	1.69	0.76	1.889e-3	0.114	(A) Asian
ART5	11p15.4	3.41	2.80	1.25	1.26	0.61	1.909e-3	0.115	(A) Asian
NPFFR2	4q13.3	3.72	2.79	1.88	1.95	0.93	1.922e-3	0.115	(A) Asian
LINC01634	22q11.21	0.21	0.42	0.37	0.72	-0.21	1.923e-3	0.115	(B) White
FAM45A	10q26.11	8.64	8.77	0.25	0.30	-0.13	1.930e-3	0.115	(B) White
LINC00326	6q23.2	0.01	0.05	0.06	0.21	-0.04	1.958e-3	0.116	(B) White
BTBD6	14q32.33	10.11	9.93	0.36	0.38	0.18	1.974e-3	0.116	(A) Asian
IGFL4	19q13.32	0.10	0.22	0.20	0.43	-0.12	2.017e-3	0.119	(B) White
ATP13A4	3q29	11.49	11.13	0.68	1.05	0.36	2.035e-3	0.119	(A) Asian
RNF112	17p11.2	3.26	2.76	1.01	0.93	0.49	2.047e-3	0.119	(A) Asian
ARHGAP36	Xq26.1	10.31	8.37	3.95	4.16	1.94	2.056e-3	0.119	(A) Asian
DMTN	8p21.3	10.36	10.21	0.28	0.44	0.15	2.060e-3	0.119	(A) Asian
RRP12	10q24.1	9.24	9.38	0.29	0.31	-0.14	2.063e-3	0.119	(B) White
RNF207	1p36.31	7.58	7.25	0.65	0.87	0.33	2.074e-3	0.119	(A) Asian
C2ORF50	2p25.1	1.86	1.52	0.69	0.71	0.34	2.093e-3	0.120	(A) Asian
KRT2	12q13.13	0.20	0.39	0.34	0.66	-0.19	2.099e-3	0.120	(B) White
RAD21L1	20p13	0.15	0.32	0.33	0.49	-0.17	2.127e-3	0.121	(B) White
C4A	6p21.33	15.11	14.66	0.92	1.01	0.45	2.159e-3	0.122	(A) Asian
SLC14A1	18q12.3	6.53	5.86	1.38	1.44	0.67	2.167e-3	0.122	(A) Asian
AKR1B15	7q33	0.36	0.68	0.54	1.21	-0.32	2.169e-3	0.122	(B) White
ZNF197	3p21.31	8.88	8.77	0.21	0.30	0.11	2.194e-3	0.123	(A) Asian
ATXN7L2	1p13.3	7.58	7.35	0.46	0.56	0.23	2.215e-3	0.124	(A) Asian
OR2B11	1q44	0.08	0.19	0.20	0.38	-0.11	2.286e-3	0.127	(B) White
PPIEL	1p34.3	6.94	6.54	0.80	1.07	0.40	2.293e-3	0.127	(A) Asian
TEX26	13q12.3	0.03	0.10	0.11	0.30	-0.07	2.304e-3	0.127	(B) White
HSD17B2	16q23.3	0.14	0.37	0.37	0.89	-0.22	2.306e-3	0.127	(B) White
CERS3	15q26.3	1.09	0.71	0.80	0.73	0.38	2.309e-3	0.127	(A) Asian
GALR1	18q23	0.63	0.99	0.71	0.98	-0.36	2.311e-3	0.127	(B) White
ACCS	11p11.2	8.66	8.27	0.81	0.72	0.39	2.337e-3	0.128	(A) Asian
ME3	11q14.2	8.68	8.36	0.64	0.74	0.32	2.367e-3	0.129	(A) Asian
LIMS3-LOC440895	2q13	6.37	5.73	1.33	1.42	0.64	2.368e-3	0.129	(A) Asian
ASB5	4q34.2	0.10	0.27	0.25	0.78	-0.17	2.389e-3	0.130	(B) White
SHC2	19p13.3	9.94	9.56	0.79	0.89	0.38	2.391e-3	0.130	(A) Asian
CACUL1	10q26.11	10.00	10.09	0.20	0.26	-0.10	2.414e-3	0.130	(B) White
C10ORF71	10q11.23	0.02	0.14	0.09	0.66	-0.12	2.436e-3	0.130	(B) White
CAMKK1	17p13.2	9.27	9.01	0.55	0.57	0.26	2.436e-3	0.130	(A) Asian
DUOX1	15q21.1	12.51	12.15	0.72	0.92	0.36	2.438e-3	0.130	(A) Asian
ASB4	7q21.3	0.89	1.23	0.69	0.86	-0.34	2.438e-3	0.130	(B) White
RUSC1-AS1	1q22	5.37	5.02	0.73	0.78	0.35	2.451e-3	0.130	(A) Asian
CBWD1	9p24.3	9.58	9.36	0.46	0.54	0.22	2.454e-3	0.130	(A) Asian
SNX24	5q23.2	8.80	8.64	0.33	0.34	0.16	2.480e-3	0.131	(A) Asian
CACNA1H	16p13.3	8.03	7.61	0.85	1.05	0.42	2.493e-3	0.131	(A) Asian
GUSBP4	6p11.2	6.84	6.60	0.50	0.55	0.24	2.503e-3	0.131	(A) Asian
TPM3P9	19q13.42	6.37	6.05	0.68	0.55	0.32	2.506e-3	0.131	(A) Asian
MYH8	17p13.1	0.02	0.14	0.11	0.65	-0.12	2.510e-3	0.131	(B) White
MAMDC2	9q21.12	6.79	6.21	1.20	1.24	0.57	2.517e-3	0.131	(A) Asian
MYO15B	17q25.1	10.18	9.73	0.94	1.09	0.46	2.564e-3	0.133	(A) Asian
CDH18	5p14.3	0.02	0.12	0.12	0.49	-0.10	2.564e-3	0.133	(B) White
FADS2	11q12.2	7.64	8.10	0.96	1.05	-0.46	2.609e-3	0.135	(B) White
PIGX	3q29	8.50	8.64	0.28	0.32	-0.14	2.618e-3	0.135	(B) White
MEIG1	10p13	0.84	1.14	0.62	0.72	-0.30	2.628e-3	0.135	(B) White
TSFM	12q14.1	8.72	8.88	0.34	0.35	-0.16	2.649e-3	0.136	(B) White
CUTALP	9q33.2	8.70	8.27	0.90	1.00	0.43	2.656e-3	0.136	(A) Asian
MGC12916	17p12	1.36	1.80	0.92	1.01	-0.44	2.681e-3	0.137	(B) White
GEMIN8	Xp22.2	9.05	8.86	0.38	0.42	0.18	2.688e-3	0.137	(A) Asian
CPB2	13q14.13	1.58	1.13	0.96	0.87	0.45	2.689e-3	0.137	(A) Asian
ATP6V0A2	12q24.31	8.84	8.98	0.27	0.34	-0.13	2.717e-3	0.138	(B) White
RIMBP3C	22q11.21	3.90	3.51	0.82	0.82	0.39	2.721e-3	0.138	(A) Asian
CA5BP1	Xp22.2	7.58	7.42	0.32	0.33	0.15	2.756e-3	0.139	(A) Asian
SRRM3	7q11.23	6.97	6.63	0.68	0.94	0.34	2.773e-3	0.139	(A) Asian
SLC25A34	1p36.21	5.45	5.00	0.94	1.02	0.45	2.795e-3	0.140	(A) Asian
ZNF630	Xp11.23	6.37	6.21	0.29	0.66	0.17	2.824e-3	0.141	(A) Asian
ALX4	11p11.2	0.18	0.38	0.38	0.62	-0.20	2.828e-3	0.141	(B) White
KRT1	12q13.13	0.71	1.07	0.72	1.05	-0.36	2.834e-3	0.141	(B) White
TRIM40	6p22.1	0.01	0.05	0.07	0.19	-0.04	2.846e-3	0.141	(B) White
ZNF529	19q13.12	8.57	8.41	0.33	0.36	0.16	2.847e-3	0.141	(A) Asian
GZMH	14q12	5.29	4.64	1.36	1.66	0.66	2.856e-3	0.141	(A) Asian
LRRFIP2	3p22.2	9.37	9.52	0.32	0.40	-0.15	2.877e-3	0.142	(B) White
FAM216B	13q14.11	0.28	0.60	0.59	1.09	-0.31	2.880e-3	0.142	(B) White
DDR1	6p21.33	13.37	13.18	0.40	0.45	0.19	2.888e-3	0.142	(A) Asian
TTC31	2p13.1	8.86	8.73	0.28	0.30	0.13	2.899e-3	0.142	(A) Asian
ANKRD45	1q25.1	3.69	3.12	1.20	1.22	0.57	2.929e-3	0.143	(A) Asian
PEAK3	19p13.3	2.43	2.88	0.95	0.99	-0.45	2.942e-3	0.143	(B) White
PRSS41	16p13.3	0.01	0.05	0.05	0.20	-0.04	2.950e-3	0.143	(B) White
CCNI2	5q31.1	4.91	4.60	0.64	0.82	0.31	2.951e-3	0.143	(A) Asian
GTSF1L	20q13.12	0.27	0.48	0.41	0.67	-0.21	2.976e-3	0.144	(B) White
CYS1	2p25.1	7.31	8.31	2.10	2.38	-1.00	2.986e-3	0.144	(B) White
YWHAEP7	17q12	2.28	2.78	1.07	1.07	-0.50	3.030e-3	0.146	(B) White
TMEM63B	6p21.1	10.35	10.04	0.66	0.56	0.31	3.037e-3	0.146	(A) Asian
RPS26	12q13.2	8.56	8.94	0.80	0.88	-0.38	3.050e-3	0.146	(B) White
ANKRD18DP	3q29	0.42	0.66	0.50	0.68	-0.25	3.052e-3	0.146	(B) White
LY6G5B	6p21.33	5.36	5.00	0.74	0.92	0.36	3.063e-3	0.146	(A) Asian
CORO6	17q11.2	9.64	8.79	1.78	1.99	0.84	3.070e-3	0.146	(A) Asian
TST	22q12.3	9.07	9.30	0.49	0.60	-0.24	3.072e-3	0.146	(B) White
LINC02610	2q37.3	3.56	3.07	1.02	1.16	0.48	3.129e-3	0.148	(A) Asian
CASQ2	1p13.1	5.40	4.84	1.18	1.36	0.56	3.143e-3	0.148	(A) Asian
LPIN3	20q12	8.94	8.72	0.44	0.54	0.21	3.151e-3	0.148	(A) Asian
VLDLR-AS1	9p24.2	3.87	3.28	1.24	1.49	0.59	3.165e-3	0.149	(A) Asian
TRIM31	6p22.1	2.02	2.40	0.78	1.14	-0.39	3.196e-3	0.150	(B) White
PLPPR1	9q31.1	1.20	1.75	1.12	1.58	-0.55	3.197e-3	0.150	(B) White
PPIL3	2q33.1	8.67	8.47	0.44	0.46	0.20	3.223e-3	0.150	(A) Asian
LYSMD4	15q26.3	7.66	7.41	0.55	0.57	0.25	3.282e-3	0.153	(A) Asian
GFOD1	6p23	1.97	2.25	0.58	0.75	-0.28	3.296e-3	0.153	(B) White
GSKIP	14q32.2	8.41	8.56	0.32	0.36	-0.15	3.320e-3	0.154	(B) White
IGFALS	16p13.3	6.06	5.43	1.36	1.41	0.63	3.322e-3	0.154	(A) Asian
LIPC	15q21.3	2.46	3.22	1.63	1.61	-0.76	3.342e-3	0.154	(B) White
COX6A2	16p11.2	0.11	0.28	0.27	0.76	-0.17	3.358e-3	0.154	(B) White
GOLGA8A	15q14	12.29	11.65	1.38	1.36	0.64	3.388e-3	0.155	(A) Asian
LRRC37A3	17q24.1	8.22	7.98	0.50	0.63	0.24	3.413e-3	0.156	(A) Asian
EXOC7	17q25.1	11.84	11.76	0.18	0.21	0.08	3.419e-3	0.156	(A) Asian
PRSS37	7q34	0.48	0.78	0.62	0.72	-0.29	3.421e-3	0.156	(B) White
POTEG	14q11.2	0.02	0.08	0.11	0.27	-0.06	3.471e-3	0.157	(B) White
POU6F2	7p14.1	0.09	0.20	0.21	0.40	-0.11	3.479e-3	0.157	(B) White
RNF146	6q22.33	10.59	10.37	0.45	0.53	0.21	3.480e-3	0.157	(A) Asian
TENM1	Xq25	10.68	9.88	1.68	2.05	0.80	3.500e-3	0.157	(A) Asian
SCUBE3	6p21.31	7.76	8.48	1.57	1.53	-0.72	3.512e-3	0.157	(B) White
PGM5-AS1	9q21.11	1.16	0.72	0.97	0.83	0.44	3.524e-3	0.157	(A) Asian
FCRLB	1q23.3	4.56	5.00	0.92	1.20	-0.44	3.524e-3	0.157	(B) White
SALL3	18q23	0.44	0.79	0.64	1.34	-0.35	3.556e-3	0.158	(B) White
SOX10	22q13.1	1.25	0.78	1.04	0.93	0.47	3.562e-3	0.158	(A) Asian
TGIF2	20q11.23	9.12	9.01	0.22	0.39	0.11	3.585e-3	0.158	(A) Asian
PPCDC	15q24.2	7.89	7.68	0.45	0.51	0.21	3.606e-3	0.159	(A) Asian
EVC2	4p16.2	7.88	7.71	0.36	0.45	0.17	3.642e-3	0.160	(A) Asian
RBM6	3p21.31	10.65	10.42	0.49	0.49	0.23	3.645e-3	0.160	(A) Asian
NDP	Xp11.3	2.16	2.72	1.17	1.59	-0.56	3.669e-3	0.160	(B) White
ENOSF1	18p11.32	9.65	9.40	0.53	0.62	0.25	3.669e-3	0.160	(A) Asian
KANSL2	12q13.11	9.06	8.95	0.22	0.27	0.10	3.683e-3	0.161	(A) Asian
HLF	17q22	8.37	7.77	1.27	1.62	0.60	3.694e-3	0.161	(A) Asian
CLRN1-AS1	3q25.1	0.04	0.10	0.12	0.29	-0.07	3.722e-3	0.161	(B) White
SPATA20	17q21.33	11.19	11.02	0.34	0.54	0.17	3.730e-3	0.161	(A) Asian
TDRD10	1q21.3	6.95	6.62	0.69	0.93	0.33	3.734e-3	0.161	(A) Asian
AARS2	6p21.1	8.74	8.65	0.18	0.23	0.09	3.739e-3	0.161	(A) Asian
SLC9A8	20q13.13	9.46	9.35	0.24	0.30	0.11	3.757e-3	0.162	(A) Asian
BDH2	4q24	11.27	11.09	0.40	0.44	0.19	3.812e-3	0.164	(A) Asian
ZNF322P1	9q22.33	5.03	4.86	0.36	0.46	0.17	3.835e-3	0.164	(A) Asian
PRICKLE4	6p21.1	7.19	6.72	1.01	1.06	0.46	3.853e-3	0.164	(A) Asian
DLX6	7q21.3	2.58	1.94	1.45	1.07	0.64	3.856e-3	0.164	(A) Asian
PCGF3	4p16.3	10.17	9.96	0.46	0.46	0.21	3.881e-3	0.165	(A) Asian
PLPP3	1p32.2	14.22	13.93	0.62	0.85	0.30	3.888e-3	0.165	(A) Asian
QDPR	4p15.32	9.21	8.98	0.49	0.54	0.23	3.911e-3	0.165	(A) Asian
CXORF58	Xp22.11	1.04	1.30	0.56	0.69	-0.26	3.920e-3	0.165	(B) White
SPATA5L1	15q21.1	7.54	7.39	0.35	0.33	0.16	3.922e-3	0.165	(A) Asian
CCDC185	1q41	0.67	1.03	0.78	0.95	-0.37	3.928e-3	0.165	(B) White
WDR4	21q22.3	6.93	7.07	0.30	0.34	-0.14	3.980e-3	0.166	(B) White
LUZP4	Xq23	0.02	0.06	0.08	0.22	-0.05	3.995e-3	0.166	(B) White
NRBP2	8q24.3	9.90	9.62	0.63	0.63	0.29	4.018e-3	0.166	(A) Asian
UPK3A	22q13.31	2.73	1.85	1.97	1.72	0.88	4.027e-3	0.166	(A) Asian
WFDC12	20q13.12	0.24	0.45	0.42	0.77	-0.21	4.030e-3	0.166	(B) White
UCA1	19p13.12	0.87	1.41	1.10	1.65	-0.54	4.032e-3	0.166	(B) White
ATP1A2	1q23.2	5.79	5.21	1.25	1.39	0.58	4.032e-3	0.166	(A) Asian
RPL23AP53	8p23.3	7.60	7.41	0.41	0.49	0.19	4.097e-3	0.169	(A) Asian
CACNA1I	22q13.1	8.83	8.16	1.43	1.69	0.66	4.107e-3	0.169	(A) Asian
PEX6	6p21.1	9.89	10.08	0.39	0.48	-0.18	4.128e-3	0.169	(B) White
DSCAM	21q22.2	0.46	0.70	0.53	0.65	-0.25	4.136e-3	0.169	(B) White
RAB40AL	Xq22.1	2.30	2.01	0.62	0.65	0.28	4.138e-3	0.169	(A) Asian
TAS2R43	12p13.2	0.50	0.27	0.53	0.39	0.23	4.153e-3	0.169	(A) Asian
ZNF781	19q13.12	5.32	4.95	0.81	0.97	0.37	4.174e-3	0.170	(A) Asian
ATP1A1-AS1	1p13.1	6.64	6.42	0.47	0.57	0.22	4.236e-3	0.172	(A) Asian
PPDPF	20q13.33	12.00	12.34	0.77	0.66	-0.34	4.251e-3	0.172	(B) White
OR9A4	7q34	0.15	0.28	0.24	0.47	-0.13	4.255e-3	0.172	(B) White
HTR1A	5q12.3	0.02	0.09	0.08	0.38	-0.07	4.275e-3	0.172	(B) White
DNM1P46	15q26.3	4.01	3.60	0.87	1.09	0.40	4.276e-3	0.172	(A) Asian
SYNPO	5q33.1	11.64	11.41	0.49	0.64	0.23	4.301e-3	0.173	(A) Asian
ELOVL6	4q25	6.59	6.90	0.65	0.88	-0.31	4.306e-3	0.173	(B) White
FOXS1	20q11.21	6.19	5.64	1.22	1.09	0.54	4.334e-3	0.173	(A) Asian
GNAT3	7q21.11	0.05	0.16	0.18	0.50	-0.11	4.342e-3	0.173	(B) White
INCENP	11q12.3	7.79	8.08	0.65	0.67	-0.29	4.355e-3	0.173	(B) White
GNB1L	22q11.21	6.32	6.58	0.59	0.60	-0.26	4.377e-3	0.174	(B) White
YIPF1	1p32.3	9.43	9.62	0.41	0.58	-0.20	4.388e-3	0.174	(B) White
CAT	11p13	11.98	12.23	0.56	0.62	-0.25	4.403e-3	0.174	(B) White
GCLC	6p12.1	9.45	9.70	0.55	0.60	-0.25	4.478e-3	0.177	(B) White
SCAMP5	15q24.2	9.00	8.77	0.49	0.58	0.22	4.508e-3	0.177	(A) Asian
MRFAP1L1	4p16.1	10.71	10.61	0.22	0.23	0.10	4.509e-3	0.177	(A) Asian
CLEC9A	12p13.2	3.19	2.60	1.31	1.31	0.59	4.535e-3	0.178	(A) Asian
SHPK	17p13.2	8.54	8.72	0.40	0.42	-0.18	4.562e-3	0.178	(B) White
PHC1	12p13.31	9.49	9.29	0.44	0.45	0.20	4.568e-3	0.178	(A) Asian
VWA2	10q25.3	4.80	5.29	1.10	1.21	-0.50	4.570e-3	0.178	(B) White
SOGA3	6q22.33	8.54	7.99	1.19	1.65	0.56	4.646e-3	0.181	(A) Asian
PCSK7	11q23.3	9.33	9.22	0.26	0.30	0.12	4.664e-3	0.181	(A) Asian
HMGA2	12q14.3	9.83	8.96	1.90	2.26	0.87	4.672e-3	0.181	(A) Asian
YJEFN3	19p13.11	5.74	5.14	1.32	1.48	0.60	4.684e-3	0.181	(A) Asian
PTP4A1	6q12	11.25	11.44	0.40	0.54	-0.19	4.690e-3	0.181	(B) White
TM4SF4	3q25.1	6.17	5.16	2.22	2.55	1.01	4.705e-3	0.181	(A) Asian
GFAP	17q21.31	4.58	4.15	0.90	1.39	0.43	4.705e-3	0.181	(A) Asian
TMED4	7p13	11.16	11.32	0.36	0.48	-0.17	4.752e-3	0.183	(B) White
SLC13A4	7q33	1.85	1.40	1.03	0.87	0.45	4.771e-3	0.183	(A) Asian
RHOXF1	Xq24	1.30	1.92	1.41	1.29	-0.62	4.775e-3	0.183	(B) White
PI3	20q13.12	0.68	1.08	0.85	1.25	-0.40	4.779e-3	0.183	(B) White
PDK4	7q21.3	11.37	12.11	1.65	1.73	-0.74	4.812e-3	0.184	(B) White
PRMT2	21q22.3	11.12	11.03	0.20	0.24	0.09	4.883e-3	0.186	(A) Asian
FOXO4	Xq13.1	9.32	9.19	0.28	0.40	0.13	4.929e-3	0.187	(A) Asian
EPCAM	2p21	13.40	13.25	0.32	0.46	0.15	4.948e-3	0.187	(A) Asian
ANKRD66	6p12.3	0.03	0.12	0.12	0.48	-0.09	4.964e-3	0.188	(B) White
KRT81	12q13.13	4.77	5.18	0.94	0.90	-0.41	4.995e-3	0.188	(B) White
ZDHHC22	14q24.3	0.69	0.97	0.50	1.20	-0.28	5.004e-3	0.188	(B) White
TMEM132D	12q24.33	6.20	5.37	1.89	1.73	0.83	5.056e-3	0.189	(A) Asian
SCAMP1	5q14.1	10.53	10.67	0.31	0.38	-0.14	5.074e-3	0.189	(B) White
PRXL2B	1p36.32	8.96	9.11	0.31	0.49	-0.15	5.086e-3	0.189	(B) White
DNAJC21	5p13.2	10.34	10.16	0.41	0.44	0.18	5.103e-3	0.189	(A) Asian
LBX2-AS1	2p13.1	6.60	6.24	0.80	0.88	0.36	5.107e-3	0.189	(A) Asian
LYPD5	19q13.31	6.09	5.76	0.76	0.81	0.34	5.112e-3	0.189	(A) Asian
GALNT15	3p25.1	6.40	6.89	1.10	1.16	-0.49	5.119e-3	0.189	(B) White
TBC1D3P1-DHX40P1	17q23.1	0.80	0.34	1.08	0.72	0.46	5.121e-3	0.189	(A) Asian
ZNF554	19p13.3	7.41	7.30	0.25	0.33	0.12	5.182e-3	0.191	(A) Asian
TSC22D3	Xq22.3	11.48	11.85	0.82	0.87	-0.36	5.204e-3	0.191	(B) White
SEMA4C	2q11.2	10.16	9.96	0.46	0.51	0.21	5.239e-3	0.192	(A) Asian
OGT	Xq13.1	12.04	11.78	0.58	0.58	0.25	5.246e-3	0.192	(A) Asian
KCNS3	2p24.2	7.68	7.34	0.72	1.02	0.34	5.304e-3	0.194	(A) Asian
PPP1R14C	6q25.1	11.19	10.87	0.66	1.07	0.32	5.337e-3	0.195	(A) Asian
RALGPS2	1q25.2	7.81	8.13	0.71	0.84	-0.32	5.430e-3	0.198	(B) White
GLRA3	4q34.1	0.06	0.16	0.19	0.41	-0.10	5.439e-3	0.198	(B) White
DBF4B	17q21.31|17q21	7.31	7.07	0.55	0.60	0.24	5.464e-3	0.198	(A) Asian
DSCAML1	11q23.3	4.65	5.26	1.36	1.61	-0.61	5.505e-3	0.199	(B) White
CTSF	11q13.2	10.03	9.69	0.77	0.94	0.34	5.516e-3	0.199	(A) Asian
USP17L2	8p23.1	0.10	0.22	0.27	0.37	-0.12	5.564e-3	0.201	(B) White
URAHP	16q24.3	5.68	5.39	0.63	0.79	0.29	5.571e-3	0.201	(A) Asian
ZNF786	7q36.1	7.70	7.57	0.28	0.35	0.13	5.584e-3	0.201	(A) Asian
HPN	19q13.11	11.02	10.51	1.05	1.87	0.52	5.611e-3	0.201	(A) Asian
THSD1	13q14.3	7.14	6.78	0.83	0.79	0.36	5.648e-3	0.201	(A) Asian
HSPA1A	6p21.33	13.44	13.01	1.01	0.69	0.43	5.658e-3	0.201	(A) Asian
GIP	17q21.32	0.02	0.10	0.08	0.47	-0.08	5.660e-3	0.201	(B) White
PRRG3	Xq28	1.76	1.28	1.11	1.14	0.48	5.663e-3	0.201	(A) Asian
TAS2R46	12p13.2	0.33	0.18	0.37	0.31	0.16	5.721e-3	0.202	(A) Asian
SILC1	2p25.2	0.23	0.45	0.41	0.89	-0.22	5.735e-3	0.202	(B) White
GRAPL	17p11.2	1.52	1.97	1.04	0.99	-0.45	5.735e-3	0.202	(B) White
ELAC2	17p12	10.35	10.43	0.19	0.24	-0.08	5.737e-3	0.202	(B) White
ST6GALNAC1	17q25.1	3.66	3.26	0.89	1.12	0.40	5.737e-3	0.202	(A) Asian
BCRP3	22q11.23	6.20	5.75	1.02	1.18	0.45	5.755e-3	0.202	(A) Asian
SDHAP1	3q29	7.31	7.08	0.52	0.59	0.23	5.769e-3	0.202	(A) Asian
GUCY2D	17p13.1	2.67	3.08	0.92	1.10	-0.41	5.779e-3	0.202	(B) White
FAM223B	Xq28	3.17	2.84	0.75	0.71	0.32	5.832e-3	0.203	(A) Asian
PNRC2	1p36.11	11.56	11.42	0.33	0.30	0.14	5.841e-3	0.203	(A) Asian
SOX8	16p13.3	6.02	5.54	1.09	1.22	0.48	5.843e-3	0.203	(A) Asian
LSMEM1	7q31.1	4.18	3.82	0.83	0.90	0.36	5.848e-3	0.203	(A) Asian
GUCY1B2	13q14.3	0.24	0.42	0.40	0.53	-0.18	5.892e-3	0.204	(B) White
C17ORF58	17q24.2	8.20	8.05	0.35	0.37	0.15	5.917e-3	0.205	(A) Asian
ZNF2	2q11.1	6.98	6.85	0.29	0.33	0.13	5.940e-3	0.205	(A) Asian
LIN28B	6q16.3-q21	0.04	0.10	0.13	0.30	-0.07	5.950e-3	0.205	(B) White
ANKRD13B	17q11.2	6.17	5.88	0.67	0.79	0.29	5.987e-3	0.206	(A) Asian
PENK	8q12.1	3.36	1.93	3.46	2.02	1.44	6.018e-3	0.206	(A) Asian
PLXNA2	1q32.2	10.81	10.59	0.51	0.61	0.22	6.050e-3	0.207	(A) Asian
MAMDC4	9q34.3	7.73	7.44	0.65	0.78	0.29	6.055e-3	0.207	(A) Asian
SLC6A13	12p13.33	7.13	6.75	0.82	1.27	0.38	6.060e-3	0.207	(A) Asian
GLIS2	16p13.3	10.20	10.03	0.38	0.51	0.17	6.080e-3	0.207	(A) Asian
TLX1	10q24.31	0.41	0.68	0.55	1.04	-0.27	6.112e-3	0.207	(B) White
TUBA4A	2q35	10.06	9.77	0.62	0.88	0.28	6.117e-3	0.207	(A) Asian
DAPL1	2q24.1	9.71	9.21	1.14	1.36	0.50	6.122e-3	0.207	(A) Asian
BHMT	5q14.1	2.72	2.21	1.19	1.08	0.51	6.144e-3	0.208	(A) Asian
CHI3L1	1q32.1	12.09	11.04	2.31	3.20	1.05	6.148e-3	0.208	(A) Asian
PEG10	7q21.3	8.96	9.43	1.07	1.28	-0.47	6.168e-3	0.208	(B) White
NPM2	8p21.3	8.74	8.37	0.86	0.91	0.37	6.209e-3	0.209	(A) Asian
PPP1R9A	7q21.3	9.44	9.65	0.48	0.59	-0.21	6.232e-3	0.209	(B) White
LGALS7	19q13.2	2.84	2.11	1.70	1.69	0.73	6.268e-3	0.210	(A) Asian
DPP10	2q14.1	4.16	3.11	2.45	2.40	1.05	6.310e-3	0.211	(A) Asian
PDIA2	16p13.3	1.22	0.76	1.12	0.86	0.47	6.311e-3	0.211	(A) Asian
CDKL2	4q21.1	7.79	7.45	0.67	1.47	0.35	6.312e-3	0.211	(A) Asian
CUZD1	10q26.13	4.04	3.76	0.63	0.85	0.28	6.330e-3	0.211	(A) Asian
GBGT1	9q34.2	7.53	7.34	0.45	0.55	0.20	6.332e-3	0.211	(A) Asian
ZBED3-AS1	5q13.3	5.71	5.48	0.51	0.62	0.23	6.370e-3	0.212	(A) Asian
BCAM	19q13.32	12.90	12.63	0.62	0.74	0.27	6.387e-3	0.212	(A) Asian
SSTR1	14q21.1	3.61	3.20	0.92	1.16	0.41	6.397e-3	0.212	(A) Asian
AP3S2	15q26.1	10.63	10.75	0.28	0.33	-0.12	6.424e-3	0.212	(B) White
ZBTB42	14q32.33	9.52	9.36	0.34	0.48	0.15	6.455e-3	0.213	(A) Asian
PSORS1C1	6p21.33	4.40	3.70	1.64	1.72	0.70	6.468e-3	0.213	(A) Asian
GHRLOS	3p25.3	3.45	3.08	0.88	0.86	0.37	6.531e-3	0.215	(A) Asian
CRYGN	7q36.1	8.79	8.35	0.98	1.42	0.44	6.561e-3	0.215	(A) Asian
PCDH9	13q21.32	5.64	4.89	1.76	1.57	0.74	6.562e-3	0.215	(A) Asian
SAR1A	10q22.1	11.02	11.11	0.21	0.22	-0.09	6.580e-3	0.215	(B) White
GGACT	13q32.3	6.74	6.55	0.44	0.42	0.19	6.593e-3	0.215	(A) Asian
ZFYVE28	4p16.3	8.39	8.13	0.60	0.66	0.26	6.639e-3	0.217	(A) Asian
ADRA1B	5q33.3	6.75	6.32	0.99	1.04	0.42	6.662e-3	0.217	(A) Asian
CARMIL1	6p22.2	8.63	8.84	0.48	0.51	-0.20	6.673e-3	0.217	(B) White
SELENBP1	1q21.3	11.95	11.64	0.71	0.81	0.31	6.725e-3	0.218	(A) Asian
RIC3	11p15.4	8.78	8.53	0.57	0.62	0.24	6.742e-3	0.219	(A) Asian
BPIFB1	20q11.21	0.90	1.48	1.26	1.90	-0.57	6.755e-3	0.219	(B) White
ZNF335	20q13.12	9.31	9.17	0.33	0.35	0.14	6.791e-3	0.219	(A) Asian
